candidate_number,name_ar,name_en,governorate,party,gender,additional_info
1,المرشح العراقي 1,Iraqi Candidate 1,بغداد,العزم,أنثى,معلومات إضافية للمرشح 1
2,المرشح العراقي 2,Iraqi Candidate 2,نجف,الحكمة,أنثى,معلومات إضافية للمرشح 2
3,المرشح العراقي 3,Iraqi Candidate 3,نينوى,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 3
4,المرشح العراقي 4,Iraqi Candidate 4,كركوك,الوطنية,أنثى,معلومات إضافية للمرشح 4
5,المرشح العراقي 5,Iraqi Candidate 5,السليمانية,النصر,أنثى,معلومات إضافية للمرشح 5
6,المرشح العراقي 6,Iraqi Candidate 6,نجف,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 6
7,المرشح العراقي 7,Iraqi Candidate 7,البصرة,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 7
8,المرشح العراقي 8,Iraqi Candidate 8,البصرة,الوطنية,أنثى,معلومات إضافية للمرشح 8
9,المرشح العراقي 9,Iraqi Candidate 9,السليمانية,الفتح,ذكر,معلومات إضافية للمرشح 9
10,المرشح العراقي 10,Iraqi Candidate 10,الأنبار,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 10
11,المرشح العراقي 11,Iraqi Candidate 11,واسط,دولة القانون,أنثى,معلومات إضافية للمرشح 11
12,المرشح العراقي 12,Iraqi Candidate 12,السليمانية,الحكمة,ذكر,معلومات إضافية للمرشح 12
13,المرشح العراقي 13,Iraqi Candidate 13,صلاح الدين,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 13
14,المرشح العراقي 14,Iraqi Candidate 14,كربلاء,سائرون,ذكر,معلومات إضافية للمرشح 14
15,المرشح العراقي 15,Iraqi Candidate 15,كركوك,حركة امتداد,أنثى,معلومات إضافية للمرشح 15
16,المرشح العراقي 16,Iraqi Candidate 16,الأنبار,تقدم,أنثى,معلومات إضافية للمرشح 16
17,المرشح العراقي 17,Iraqi Candidate 17,كركوك,الفتح,أنثى,معلومات إضافية للمرشح 17
18,المرشح العراقي 18,Iraqi Candidate 18,البصرة,تحالف السيادة,ذكر,معلومات إضافية للمرشح 18
19,المرشح العراقي 19,Iraqi Candidate 19,ذي قار,تحالف السيادة,ذكر,معلومات إضافية للمرشح 19
20,المرشح العراقي 20,Iraqi Candidate 20,صلاح الدين,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 20
21,المرشح العراقي 21,Iraqi Candidate 21,الأنبار,الحكمة,ذكر,معلومات إضافية للمرشح 21
22,المرشح العراقي 22,Iraqi Candidate 22,ميسان,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 22
23,المرشح العراقي 23,Iraqi Candidate 23,البصرة,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 23
24,المرشح العراقي 24,Iraqi Candidate 24,بابل,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 24
25,المرشح العراقي 25,Iraqi Candidate 25,ميسان,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 25
26,المرشح العراقي 26,Iraqi Candidate 26,الأنبار,الفتح,ذكر,معلومات إضافية للمرشح 26
27,المرشح العراقي 27,Iraqi Candidate 27,نينوى,تقدم,ذكر,معلومات إضافية للمرشح 27
28,المرشح العراقي 28,Iraqi Candidate 28,ذي قار,تحالف عزم,أنثى,معلومات إضافية للمرشح 28
29,المرشح العراقي 29,Iraqi Candidate 29,ميسان,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 29
30,المرشح العراقي 30,Iraqi Candidate 30,دهوك,الفتح,أنثى,معلومات إضافية للمرشح 30
31,المرشح العراقي 31,Iraqi Candidate 31,صلاح الدين,حركة امتداد,ذكر,معلومات إضافية للمرشح 31
32,المرشح العراقي 32,Iraqi Candidate 32,نجف,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 32
33,المرشح العراقي 33,Iraqi Candidate 33,السليمانية,الحكمة,ذكر,معلومات إضافية للمرشح 33
34,المرشح العراقي 34,Iraqi Candidate 34,نينوى,تحالف السيادة,أنثى,معلومات إضافية للمرشح 34
35,المرشح العراقي 35,Iraqi Candidate 35,صلاح الدين,الوطنية,أنثى,معلومات إضافية للمرشح 35
36,المرشح العراقي 36,Iraqi Candidate 36,الأنبار,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 36
37,المرشح العراقي 37,Iraqi Candidate 37,كربلاء,سائرون,أنثى,معلومات إضافية للمرشح 37
38,المرشح العراقي 38,Iraqi Candidate 38,الحلة,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 38
39,المرشح العراقي 39,Iraqi Candidate 39,القادسية,العزم,ذكر,معلومات إضافية للمرشح 39
40,المرشح العراقي 40,Iraqi Candidate 40,كركوك,العزم,أنثى,معلومات إضافية للمرشح 40
41,المرشح العراقي 41,Iraqi Candidate 41,الأنبار,تحالف عزم,أنثى,معلومات إضافية للمرشح 41
42,المرشح العراقي 42,Iraqi Candidate 42,كركوك,الحكمة,ذكر,معلومات إضافية للمرشح 42
43,المرشح العراقي 43,Iraqi Candidate 43,ميسان,الحكمة,ذكر,معلومات إضافية للمرشح 43
44,المرشح العراقي 44,Iraqi Candidate 44,الحلة,الحكمة,أنثى,معلومات إضافية للمرشح 44
45,المرشح العراقي 45,Iraqi Candidate 45,المثنى,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 45
46,المرشح العراقي 46,Iraqi Candidate 46,كربلاء,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 46
47,المرشح العراقي 47,Iraqi Candidate 47,المثنى,سائرون,ذكر,معلومات إضافية للمرشح 47
48,المرشح العراقي 48,Iraqi Candidate 48,كربلاء,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 48
49,المرشح العراقي 49,Iraqi Candidate 49,بابل,سائرون,أنثى,معلومات إضافية للمرشح 49
50,المرشح العراقي 50,Iraqi Candidate 50,كركوك,الفتح,أنثى,معلومات إضافية للمرشح 50
51,المرشح العراقي 51,Iraqi Candidate 51,ميسان,الوطنية,ذكر,معلومات إضافية للمرشح 51
52,المرشح العراقي 52,Iraqi Candidate 52,البصرة,الحكمة,ذكر,معلومات إضافية للمرشح 52
53,المرشح العراقي 53,Iraqi Candidate 53,القادسية,دولة القانون,أنثى,معلومات إضافية للمرشح 53
54,المرشح العراقي 54,Iraqi Candidate 54,واسط,العزم,أنثى,معلومات إضافية للمرشح 54
55,المرشح العراقي 55,Iraqi Candidate 55,ديالى,حركة امتداد,أنثى,معلومات إضافية للمرشح 55
56,المرشح العراقي 56,Iraqi Candidate 56,الأنبار,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 56
57,المرشح العراقي 57,Iraqi Candidate 57,صلاح الدين,تحالف عزم,أنثى,معلومات إضافية للمرشح 57
58,المرشح العراقي 58,Iraqi Candidate 58,كركوك,تقدم,أنثى,معلومات إضافية للمرشح 58
59,المرشح العراقي 59,Iraqi Candidate 59,البصرة,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 59
60,المرشح العراقي 60,Iraqi Candidate 60,واسط,العزم,ذكر,معلومات إضافية للمرشح 60
61,المرشح العراقي 61,Iraqi Candidate 61,ذي قار,النصر,أنثى,معلومات إضافية للمرشح 61
62,المرشح العراقي 62,Iraqi Candidate 62,واسط,النصر,ذكر,معلومات إضافية للمرشح 62
63,المرشح العراقي 63,Iraqi Candidate 63,كربلاء,الفتح,أنثى,معلومات إضافية للمرشح 63
64,المرشح العراقي 64,Iraqi Candidate 64,بغداد,الحكمة,أنثى,معلومات إضافية للمرشح 64
65,المرشح العراقي 65,Iraqi Candidate 65,المثنى,الفتح,أنثى,معلومات إضافية للمرشح 65
66,المرشح العراقي 66,Iraqi Candidate 66,بابل,العزم,أنثى,معلومات إضافية للمرشح 66
67,المرشح العراقي 67,Iraqi Candidate 67,نجف,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 67
68,المرشح العراقي 68,Iraqi Candidate 68,واسط,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 68
69,المرشح العراقي 69,Iraqi Candidate 69,أربيل,دولة القانون,أنثى,معلومات إضافية للمرشح 69
70,المرشح العراقي 70,Iraqi Candidate 70,الحلة,تقدم,ذكر,معلومات إضافية للمرشح 70
71,المرشح العراقي 71,Iraqi Candidate 71,الأنبار,الفتح,ذكر,معلومات إضافية للمرشح 71
72,المرشح العراقي 72,Iraqi Candidate 72,بغداد,تحالف عزم,ذكر,معلومات إضافية للمرشح 72
73,المرشح العراقي 73,Iraqi Candidate 73,كركوك,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 73
74,المرشح العراقي 74,Iraqi Candidate 74,أربيل,الوطنية,أنثى,معلومات إضافية للمرشح 74
75,المرشح العراقي 75,Iraqi Candidate 75,أربيل,العزم,ذكر,معلومات إضافية للمرشح 75
76,المرشح العراقي 76,Iraqi Candidate 76,بغداد,حركة امتداد,أنثى,معلومات إضافية للمرشح 76
77,المرشح العراقي 77,Iraqi Candidate 77,البصرة,الوطنية,أنثى,معلومات إضافية للمرشح 77
78,المرشح العراقي 78,Iraqi Candidate 78,بابل,النصر,ذكر,معلومات إضافية للمرشح 78
79,المرشح العراقي 79,Iraqi Candidate 79,البصرة,العزم,أنثى,معلومات إضافية للمرشح 79
80,المرشح العراقي 80,Iraqi Candidate 80,الحلة,الحكمة,أنثى,معلومات إضافية للمرشح 80
81,المرشح العراقي 81,Iraqi Candidate 81,السليمانية,تقدم,ذكر,معلومات إضافية للمرشح 81
82,المرشح العراقي 82,Iraqi Candidate 82,بابل,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 82
83,المرشح العراقي 83,Iraqi Candidate 83,بابل,تقدم,ذكر,معلومات إضافية للمرشح 83
84,المرشح العراقي 84,Iraqi Candidate 84,كربلاء,تحالف السيادة,ذكر,معلومات إضافية للمرشح 84
85,المرشح العراقي 85,Iraqi Candidate 85,بغداد,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 85
86,المرشح العراقي 86,Iraqi Candidate 86,بابل,الوطنية,ذكر,معلومات إضافية للمرشح 86
87,المرشح العراقي 87,Iraqi Candidate 87,بغداد,الوطنية,أنثى,معلومات إضافية للمرشح 87
