ID,Name (AR),Name (EN),Twitter,Facebook,Instagram,LinkedIn,Verified Profile,Notes
2025_69_أربيل,المرشح العراقي 69,Iraqi Candidate 69,https://twitter.com/search?q=Iraqi%20Candidate%2069%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%2069,https://www.instagram.com/explore/tags/Iraqi%20Candidate%2069/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%2069%20Iraq,,
2025_74_أربيل,المرشح العراقي 74,Iraqi Candidate 74,https://twitter.com/search?q=Iraqi%20Candidate%2074%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%2074,https://www.instagram.com/explore/tags/Iraqi%20Candidate%2074/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%2074%20Iraq,,
2025_75_أربيل,المرشح العراقي 75,Iraqi Candidate 75,https://twitter.com/search?q=Iraqi%20Candidate%2075%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%2075,https://www.instagram.com/explore/tags/Iraqi%20Candidate%2075/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%2075%20Iraq,,
2025_101_أربيل,المرشح العراقي 101,Iraqi Candidate 101,https://twitter.com/search?q=Iraqi%20Candidate%20101%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20101,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20101/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20101%20Iraq,,
2025_109_أربيل,المرشح العراقي 109,Iraqi Candidate 109,https://twitter.com/search?q=Iraqi%20Candidate%20109%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20109,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20109/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20109%20Iraq,,
2025_122_أربيل,المرشح العراقي 122,Iraqi Candidate 122,https://twitter.com/search?q=Iraqi%20Candidate%20122%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20122,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20122/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20122%20Iraq,,
2025_124_أربيل,المرشح العراقي 124,Iraqi Candidate 124,https://twitter.com/search?q=Iraqi%20Candidate%20124%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20124,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20124/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20124%20Iraq,,
2025_125_أربيل,المرشح العراقي 125,Iraqi Candidate 125,https://twitter.com/search?q=Iraqi%20Candidate%20125%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20125,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20125/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20125%20Iraq,,
2025_126_أربيل,المرشح العراقي 126,Iraqi Candidate 126,https://twitter.com/search?q=Iraqi%20Candidate%20126%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20126,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20126/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20126%20Iraq,,
2025_134_أربيل,المرشح العراقي 134,Iraqi Candidate 134,https://twitter.com/search?q=Iraqi%20Candidate%20134%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20134,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20134/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20134%20Iraq,,
2025_158_أربيل,المرشح العراقي 158,Iraqi Candidate 158,https://twitter.com/search?q=Iraqi%20Candidate%20158%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20158,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20158/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20158%20Iraq,,
2025_258_أربيل,المرشح العراقي 258,Iraqi Candidate 258,https://twitter.com/search?q=Iraqi%20Candidate%20258%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20258,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20258/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20258%20Iraq,,
2025_285_أربيل,المرشح العراقي 285,Iraqi Candidate 285,https://twitter.com/search?q=Iraqi%20Candidate%20285%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20285,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20285/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20285%20Iraq,,
2025_301_أربيل,المرشح العراقي 301,Iraqi Candidate 301,https://twitter.com/search?q=Iraqi%20Candidate%20301%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20301,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20301/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20301%20Iraq,,
2025_304_أربيل,المرشح العراقي 304,Iraqi Candidate 304,https://twitter.com/search?q=Iraqi%20Candidate%20304%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20304,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20304/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20304%20Iraq,,
2025_379_أربيل,المرشح العراقي 379,Iraqi Candidate 379,https://twitter.com/search?q=Iraqi%20Candidate%20379%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20379,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20379/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20379%20Iraq,,
2025_388_أربيل,المرشح العراقي 388,Iraqi Candidate 388,https://twitter.com/search?q=Iraqi%20Candidate%20388%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20388,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20388/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20388%20Iraq,,
2025_390_أربيل,المرشح العراقي 390,Iraqi Candidate 390,https://twitter.com/search?q=Iraqi%20Candidate%20390%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20390,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20390/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20390%20Iraq,,
2025_392_أربيل,المرشح العراقي 392,Iraqi Candidate 392,https://twitter.com/search?q=Iraqi%20Candidate%20392%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20392,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20392/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20392%20Iraq,,
2025_409_أربيل,المرشح العراقي 409,Iraqi Candidate 409,https://twitter.com/search?q=Iraqi%20Candidate%20409%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20409,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20409/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20409%20Iraq,,
2025_419_أربيل,المرشح العراقي 419,Iraqi Candidate 419,https://twitter.com/search?q=Iraqi%20Candidate%20419%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20419,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20419/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20419%20Iraq,,
2025_457_أربيل,المرشح العراقي 457,Iraqi Candidate 457,https://twitter.com/search?q=Iraqi%20Candidate%20457%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20457,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20457/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20457%20Iraq,,
2025_468_أربيل,المرشح العراقي 468,Iraqi Candidate 468,https://twitter.com/search?q=Iraqi%20Candidate%20468%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20468,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20468/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20468%20Iraq,,
2025_472_أربيل,المرشح العراقي 472,Iraqi Candidate 472,https://twitter.com/search?q=Iraqi%20Candidate%20472%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20472,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20472/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20472%20Iraq,,
2025_487_أربيل,المرشح العراقي 487,Iraqi Candidate 487,https://twitter.com/search?q=Iraqi%20Candidate%20487%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20487,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20487/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20487%20Iraq,,
2025_500_أربيل,المرشح العراقي 500,Iraqi Candidate 500,https://twitter.com/search?q=Iraqi%20Candidate%20500%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20500,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20500/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20500%20Iraq,,
2025_510_أربيل,المرشح العراقي 510,Iraqi Candidate 510,https://twitter.com/search?q=Iraqi%20Candidate%20510%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20510,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20510/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20510%20Iraq,,
2025_513_أربيل,المرشح العراقي 513,Iraqi Candidate 513,https://twitter.com/search?q=Iraqi%20Candidate%20513%20Iraq,https://www.facebook.com/search/top?q=%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%20513,https://www.instagram.com/explore/tags/Iraqi%20Candidate%20513/,https://www.linkedin.com/search/results/all/?keywords=Iraqi%20Candidate%20513%20Iraq,,
